,dates,day_of_week,year,month,count
0,2017-07-15 06:30:00,Saturday,2017,7,1
1,2017-07-14 15:07:48,Friday,2017,7,1
2,2017-07-14 13:56:30,Friday,2017,7,1
3,2017-07-14 05:30:00,Friday,2017,7,1
4,2017-07-13 15:15:10,Thursday,2017,7,1
5,2017-07-13 05:30:00,Thursday,2017,7,1
6,2017-07-12 06:30:00,Wednesday,2017,7,1
7,2017-07-12 05:32:33,Wednesday,2017,7,1
8,2017-07-11 12:30:00,Tuesday,2017,7,1
9,2017-07-11 09:30:00,Tuesday,2017,7,1
10,2017-07-11 07:40:00,Tuesday,2017,7,1
11,2017-07-11 06:03:22,Tuesday,2017,7,1
12,2017-07-11 04:48:33,Tuesday,2017,7,1
13,2017-07-10 15:30:00,Monday,2017,7,1
14,2017-07-10 14:30:00,Monday,2017,7,1
15,2017-07-10 13:30:00,Monday,2017,7,1
16,2017-07-10 12:40:32,Monday,2017,7,1
17,2017-07-10 12:30:00,Monday,2017,7,1
18,2017-07-10 11:30:00,Monday,2017,7,1
19,2017-07-10 10:30:00,Monday,2017,7,1
20,2017-07-10 06:20:45,Monday,2017,7,1
21,2017-07-10 05:30:00,Monday,2017,7,1
22,2017-07-10 04:21:15,Monday,2017,7,1
23,2017-07-09 06:30:00,Sunday,2017,7,1
24,2017-07-09 05:30:00,Sunday,2017,7,1
25,2017-07-08 08:45:26,Saturday,2017,7,1
26,2017-07-08 06:30:00,Saturday,2017,7,1
27,2017-07-08 05:30:00,Saturday,2017,7,1
28,2017-07-07 14:15:24,Friday,2017,7,1
29,2017-07-07 13:14:34,Friday,2017,7,1
30,2017-07-07 05:30:00,Friday,2017,7,1
31,2017-07-06 08:31:00,Thursday,2017,7,1
32,2017-07-06 05:30:00,Thursday,2017,7,1
33,2017-07-05 07:02:45,Wednesday,2017,7,1
34,2017-07-05 07:00:00,Wednesday,2017,7,1
35,2017-07-04 13:05:48,Tuesday,2017,7,1
36,2017-07-04 05:30:00,Tuesday,2017,7,1
37,2017-07-03 05:30:00,Monday,2017,7,1
38,2017-07-02 05:30:00,Sunday,2017,7,1
39,2017-07-01 06:04:58,Saturday,2017,7,1
40,2017-06-30 13:10:29,Friday,2017,6,1
41,2017-06-29 10:47:50,Thursday,2017,6,1
42,2017-06-29 10:28:41,Thursday,2017,6,1
43,2017-06-27 13:37:00,Tuesday,2017,6,1
44,2017-06-26 05:30:00,Monday,2017,6,1
45,2017-06-25 18:29:10,Sunday,2017,6,1
46,2017-06-25 10:15:00,Sunday,2017,6,1
47,2017-06-25 09:25:00,Sunday,2017,6,1
48,2017-06-25 08:56:22,Sunday,2017,6,1
49,2017-06-25 05:30:00,Sunday,2017,6,1
50,2017-06-24 14:10:05,Saturday,2017,6,1
51,2017-06-24 12:26:05,Saturday,2017,6,1
52,2017-06-24 05:30:00,Saturday,2017,6,1
53,2017-06-23 07:14:22,Friday,2017,6,1
54,2017-06-23 06:32:58,Friday,2017,6,1
55,2017-06-22 15:30:00,Thursday,2017,6,1
56,2017-06-22 13:51:41,Thursday,2017,6,1
57,2017-06-22 05:42:00,Thursday,2017,6,1
58,2017-06-21 12:49:37,Wednesday,2017,6,1
59,2017-06-21 08:26:02,Wednesday,2017,6,1
60,2017-06-20 13:37:31,Tuesday,2017,6,1
61,2017-06-20 07:30:00,Tuesday,2017,6,1
62,2017-06-19 10:13:27,Monday,2017,6,1
63,2017-06-19 08:45:33,Monday,2017,6,1
64,2017-06-19 07:27:00,Monday,2017,6,1
65,2017-06-17 07:37:38,Saturday,2017,6,1
66,2017-06-17 07:08:18,Saturday,2017,6,1
67,2017-06-16 11:30:30,Friday,2017,6,1
68,2017-06-16 11:06:46,Friday,2017,6,1
69,2017-06-16 09:15:36,Friday,2017,6,1
70,2017-06-12 12:45:08,Monday,2017,6,1
71,2017-06-11 07:58:34,Sunday,2017,6,1
72,2017-06-09 14:16:25,Friday,2017,6,1
73,2017-06-09 07:12:26,Friday,2017,6,1
74,2017-06-08 11:30:00,Thursday,2017,6,1
75,2017-06-06 15:40:29,Tuesday,2017,6,1
76,2017-06-05 08:30:00,Monday,2017,6,1
77,2017-06-05 06:30:00,Monday,2017,6,1
78,2017-06-04 08:30:00,Sunday,2017,6,1
79,2017-06-04 06:30:00,Sunday,2017,6,1
80,2017-05-31 07:00:00,Wednesday,2017,5,1
81,2017-05-29 06:44:51,Monday,2017,5,1
82,2017-05-28 09:30:00,Sunday,2017,5,1
83,2017-05-27 09:30:00,Saturday,2017,5,1
84,2017-05-26 09:30:00,Friday,2017,5,1
85,2017-05-25 11:26:15,Thursday,2017,5,1
86,2017-05-23 06:17:53,Tuesday,2017,5,1
